PEAK-FOREST-ELDON-HILL,,,,,,,,,,
Grid ref,SK121806,Long,-1.8198119,Lat,53.322188,Elevation,1350,ft.,,
Station no,2681/6/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.63,5.5,2.09,5.55,,7.55,3.5,5.42,4.6,7.92
February,3.87,2.8,,3.8,,,3.3,7.72,0.8,3.45
March,6.59,2.4,2.85,4.47,4.02,1.83,3.22,3.45,2.3,2.4
April,2.57,3.7,3.3,1.1,1.85,2.43,0.53,1.44,3.6,2.2
May,2.66,,2.2,3.45,5.28,1.48,,4.7,0.96,2.56
June,1.86,2.4,3.4,3.32,3.9,3.7,1.85,5.55,1.71,1.98
July,3.2,3.45,5.6,6.14,1.7,7.3,4.5,,2.8,6.95
August,6.06,1.35,4.6,6.86,,,7.8,3.32,0.78,5.2
September,3.21,5.3,2.4,5.5,1.8,4.2,9,5.7,0.19,4.65
October,1.39,6.4,2.5,6.46,3.41,3.24,3.87,4.4,3.64,7.58
November,11.44,3.7,2.77,7.72,2.87,1.64,2.5,1.7,5.68,6.24
December,6.52,4.15,2.2,8.33,4.2,6.7,5.5,,7.16,4.41
Total,55,,,62.7,,,,,34.22,55.54
,,,,,,,,,,
NGR is from 1950s record and is on the side of Eldon Hill. Altitudes match,,,,,,,,,,
