CLAPHAM-PARK-NEW-PARK-ROAD-(ATKINS-ROAD),,,,,,,,,,,,,,
Grid ref,TQ300737,Long,-0.13046,Lat,51.44769,Elevation,120,ft,,,,,,
Station no,RR8072,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.8,1.27,0.82,1.48,,,,,,,,,
February,,1.02,,0.5,2.5,,,,,,,,,
March,1.11,0.74,,2.62,0.91,,,,,,,,,
April,0.66,3.88,1.94,1.59,1.78,,,,,,,,,
May,1.36,2.14,1.9,1.38,2.03,,,,,,,,,
June,2.89,3.13,2.62,3.63,2.68,,,,,,,,,
July,1.44,1.29,3.72,3.26,2.75,,,,,,,,,
August,0.78,2.13,3.32,1.64,2.45,,,,,,,,,
September,2.33,0.68,1.12,2.47,0.64,,,,,,,,,
October,3.04,3.25,2.2,3.91,2.37,,,,,,,,,
November,4.68,2.22,0.63,0.99,2.83,,,,,,,,,
December,2.29,2.85,1.83,2.16,2.68,,,,,,,,,
Total,,24.13,,24.97,25.1,,,,,,,,,
,,,,,,,,,,,,,,
Exact house unknown but distances and moves make it at S end of Atkins Road,,,,,,,,,,,,,,
1906 Mar 1 Gauge moved 1000ft NNE from New Park Road,,,,,,,,,,,,,,
1908 Feb Mar Owing to illness observations very unreliable,,,,,,,,,,,,,,
