Rainfall at,YATTON CHELVEY
,
Station no,,
,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.27,2.43,5.83,4.31,3.70,,,,,,
February,1.62,1.64,4.00,1.86,2.90,,,,,,
March,1.81,1.29,2.21,3.98,2.19,,,,,,
April,0.52,3.29,2.69,0.64,1.96,,,,,,
May,1.21,0.72,2.27,2.67,0.52,,,,,,
June,0.41,1.42,3.31,1.94,1.19,,,,,,
July,2.44,5.70,4.38,4.67,1.88,,,,,,
August,1.85,2.47,3.26,3.44,4.66,,,,,,
September,2.16,5.03,3.12,2.87,6.82,,,,,,
October,5.20,2.73,4.21,3.28,4.18,,,,,,
November,2.93,0.78,4.20,2.35,1.95,,,,,,
December,1.78,1.98,4.04,0.65,3.74,,,,,,
Total,24.20,29.48,43.52,32.66,35.69,,,,,,
Calc annual,24.20,29.48,43.52,32.66,35.69,0.00,0.00,0.00,0.00,0.00,
Difference,-0.00,-0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,
