POTTERS-BAR-MOUNT-GRACE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL260011,Long,-0.17838227,Lat,51.694517,Elevation,400,ft.,,,,,,,,,,,,
Station no,876,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,2.52,1.94,,,,,,,,
February,,,,,,,,,,,5.45,0.84,,,,,,,,
March,,,,,,,,,,,3.85,4.24,,,,,,,,
April,,,,,,,,,,,2.8,1.83,,,,,,,,
May,,,,,,,,,,,2.14,1.6,,,,,,,,
June,,,,,,,,,,,0.67,1.03,,,,,,,,
July,,,,,,,,,,,1.06,0.17,,,,,,,,
August,,,,,,,,,,,3.77,3.61,,,,,,,,
September,,,,,,,,,,,3.61,3.59,,,,,,,,
October,,,,,,,,,,0.36,0.93,3.32,,,,,,,,
November,,,,,,,,,,4.8,4.69,4.64,,,,,,,,
December,,,,,,,,,,2.04,1.46,3.12,,,,,,,,
Total,,,,,,,,,,,32.95,29.93,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is Parkhill school, gauge moved here from 1950 to 1952 before moving back to Mount Grace in 1954, with 1 year gap. Move was about 900m",,,,,,,,,,,,,,,,,,,,
