UPWEY-ELWELL,,,,,,,,,,
Grid ref,SY667848,Long,-2.472498,Lat,50.661913,Elevation,130,ft,,
Station no,1567/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.86,5.34,3.81,3.64,5.82,4.19
February,,,,,2.41,0.3,4.31,3.89,0.43,3.29
March,,,,,1.57,0.84,2.93,1.59,4.07,2.57
April,,,,,0.54,2.01,0.35,0.55,2.04,2.6
May,,,,,5.3,0.83,2.23,2.31,1.2,1.82
June,,,,,2.89,2.36,2.28,3.31,0.81,1.44
July,,,,,8.39,3.44,4.73,2.74,1.74,3.54
August,,,,,0.62,4.28,3.22,2.5,2.25,6.27
September,,,,,2.21,5.97,4.04,4.98,0.27,6.22
October,,,,,4.21,2.33,3.2,3.6,3.52,10
November,,,,,3.03,0.98,2.8,3.92,4.56,6.31
December,,,,,6.01,5.61,2.62,5.34,8.23,4.61
Total,,,,,41.04,34.29,36.52,38.37,34.94,52.86
,,,,,,,,,,
Post 1960 known as Elwell SRC_ID 8008,,,,,,,,,,
1955-1966,,,,,,,,,,
