"BRADFORD (STAIRS TOP, OXENHOPE",,,,,,,,,,,,
Grid ref,SE004339,Long,-1.995408,Lat,53.801401,,,,,,,
Station no,3270,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.10,5.48,2.18,4.31,2.76,7.15,5.70,5.28,3.82,6.31,,
February,4.30,1.58,2.79,4.71,3.20,1.94,4.32,9.05,0.86,4.66,,
March,5.42,3.05,2.76,3.31,3.08,2.81,4.98,3.15,2.35,2.44,,
April,2.70,3.40,4.16,0.85,2.40,3.76,0.65,1.80,4.82,3.35,,
May,4.70,2.89,2.97,3.95,4.06,2.37,1.39,7.00,1.77,1.60,,
June,1.41,3.64,4.38,3.10,3.59,5.05,3.77,6.06,4.13,1.20,,
July,3.86,2.78,6.55,4.70,1.03,6.65,5.61,4.67,3.75,7.15,,
August,5.34,6.74,6.21,9.92,1.55,10.88,6.72,4.95,1.51,4.86,,
September,3.62,5.35,5.34,6.82,2.75,5.85,7.34,5.43,0.31,3.50,,
October,1.95,5.62,3.11,9.65,3.68,2.80,7.49,4.47,6.47,7.60,,
November,10.65,2.87,6.60,8.55,3.30,2.55,3.00,1.78,6.07,9.09,,
December,9.98,5.85,2.92,9.20,7.75,6.72,7.15,5.93,10.25,6.30,,
Total,60.03,49.25,49.97,69.07,39.15,58.53,58.12,59.57,46.11,58.06,,
Calc annual,60.03,49.25,49.97,69.07,39.15,58.53,58.12,59.57,46.11,58.06,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
