EGHAM-RUNNYMEDE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ001713,Long,-0.5614,Lat,51.43193,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.8,0.7,1.74,1,3.72,2.77,0.6,3.78,,,3.01,3.52,2.64,,,,,,,,,,
February,,,,,,,,,0.91,0.27,2.84,1.27,1.66,0.83,2.89,3.56,,,1,2.4,0.32,,,,,,,,,,
March,,,,,,,,,2.72,2.56,0.94,1.65,3.02,2.48,4.37,0.92,,,0.93,4.26,1.58,,,,,,,,,,
April,,,,,,,,,2.99,1.93,1.13,1.84,0.06,2.75,0.84,1.08,,,3.55,2.67,3.45,,,,,,,,,,
May,,,,,,,,,1.37,1.3,1.89,1.7,1.18,1.52,1.76,4.19,,,2.51,0.2,1.22,,,,,,,,,,
June,,,,,,,,,1.36,3.41,4.53,1.92,3.45,0.56,3.87,1.4,,,0.68,1.13,1.77,,,,,,,,,,
July,,,,,,,,,2.77,3.38,2.53,0.67,1.47,1.32,2.46,5.08,,,5.02,2.89,5.31,,,,,,,,,,
August,,,,,,,,,1.83,1.86,2.46,2.05,4.38,1.2,1.43,3.16,,,1.13,2.32,1.54,,,,,,,,,,
September,,,,,,,,,1.72,2.5,0.36,1.33,2.79,1.99,0.79,2.41,,,5.08,1.42,2.08,,,,,,,,,,
October,,,,,,,,,2.59,3.81,3.73,3.03,2.55,4.16,1.48,2.5,,,1.73,0.68,1.88,,,,,,,,,,
November,,,,,,,,,0.78,0.49,2.72,3.38,1.8,2.38,2.67,2.18,,,2.68,1.26,1.17,,,,,,,,,,
December,,,,,,,,,1.69,2.49,3.72,5.51,3.27,1.03,7.33,5.79,,,2.51,4.56,2.08,,,,,,,,,,
Total,,,,,,,,,22.53,24.7,28.59,25.35,29.35,22.99,30.49,36.05,,,29.83,27.31,25.04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First sheet says Ruunymede Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer seems to have renamed it Egham Park After his death it reverted to Runnymede Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huge 80 acre site on many levels ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of gauge unknown and elevation has question mark NGR is west of house which matches elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909 Corrected for wrong day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
