ABINGER-HILL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ119444,Long,-0.40020043,Lat,51.187882,Elevation,670,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.6,2.34,3.21,2.23,2.2,1.1,,6.27,3.07,6.21,,,,,,,,,,,
February,,,,,,,,,,,1.1,2.35,0.61,4.83,0.33,4.18,,4.56,0.88,2.04,,,,,,,,,,,
March,,,,,,,,,,,2.04,0.56,1.77,3.47,3.06,0.39,,4.22,0.53,1.7,,,,,,,,,,,
April,,,,,,,,,,,1.63,4.78,3.09,1.11,3,3.52,,3.28,0.1,,,,,,,,,,,,
May,,,,,,,,,,,3.04,2.76,4.56,2.25,0.4,1.87,,3.27,1.47,2.1,,,,,,,,,,,
June,,,,,,,,,,,1.32,1.87,1.86,1.71,1.18,4.75,,2.08,0.52,2.31,,,,,,,,,,,
July,,,,,,,,,,,3.92,4.47,4.18,2.04,1.83,1.29,,1.31,2.15,2.97,,,,,,,,,,,
August,,,,,,,,,,,5.79,4.63,0.71,1.1,2.33,4.3,0.83,1.5,1.09,3.43,,,,,,,,,,,
September,,,,,,,,,,,3.58,2.16,2.6,2.5,2.61,5.22,2.19,2.34,2,1.48,,,,,,,,,,,
October,,,,,,,,,,,1.52,0.68,7.2,2.33,1.09,3.94,3.46,3.2,3.36,6.24,,,,,,,,,,,
November,,,,,,,,,,,5.55,4.14,1.64,1.28,3.19,7.76,4.94,3.08,4.37,5.44,,,,,,,,,,,
December,,,,,,,,,,,3.07,0.62,0.89,0.5,9.24,4.78,3.14,4.92,4.88,2.31,,,,,,,,,,,
Total,,,,,,,,,,,37.16,31.36,32.32,25.35,30.46,43.1,,40.03,24.42,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Pasture Wood, the location of the school before it was evacuated to Canada for World War II. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940s record is blank, the school returned elsewhere after the war.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
