"MELROSE (DINGLETON HOSPITAL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5055,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.03,1.17,2.26,3.10,1.71,1.80,2.74,3.75,2.75,3.18,,
February,3.16,2.07,2.53,1.43,2.86,3.23,3.93,0.77,3.01,1.94,,
March,1.41,2.39,2.89,4.25,3.22,2.36,4.16,1.37,0.94,2.41,,
April,2.75,2.20,0.30,3.42,0.88,0.87,2.39,2.80,0.81,1.72,,
May,1.71,1.10,1.14,2.82,1.77,1.43,3.53,2.07,2.45,1.38,,
June,2.83,2.58,4.67,2.03,1.92,1.27,1.93,1.89,0.38,0.94,,
July,5.00,0.85,1.97,0.85,1.47,2.60,4.81,2.44,3.44,0.69,,
August,5.17,1.34,5.52,1.57,2.23,3.54,4.91,6.63,2.05,2.77,,
September,0.49,1.25,2.98,1.86,1.09,1.84,2.10,1.69,5.92,1.64,,
October,3.12,2.61,3.07,2.93,1.59,1.95,4.58,3.77,3.61,2.89,,
November,3.26,3.89,2.14,1.94,4.07,1.77,4.14,2.38,1.55,4.85,,
December,2.49,4.62,3.21,2.15,5.41,6.06,2.87,2.11,2.00,4.90,,
Total,34.42,26.07,32.68,28.35,28.22,28.72,42.09,31.67,28.91,29.31,,
Calc annual,34.42,26.07,32.68,28.35,28.22,28.72,42.09,31.67,28.91,29.31,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
