BALQUHIDDER (MEALL REAMHAR),,,,,,,,,,
Grid ref,NN517233,Long,-4.403159,Lat,56.378659,Elevation,1850,ft,,
Station no,5526/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.55,8.24
February,,,,,,,,,3.95,8.15
March,,,,,,,,,7.7,4.35
April,,,,,,,,,6.9,9.6
May,,,,,,,,,3.2,4.8
June,,,,,,,,,4.55,3.97
July,,,,,,,,,8.05,5.8
August,,,,,,,,,4.1,6.1
September,,,,,,,,,2.1,6.16
October,,,,,,,,,9.25,7.9
November,,,,,,,,,12.5,11.2
December,,,,,,,,8.5,15.38,10
Total,,,,,,,,,84.23,86.27
,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P Mar Apr May Sep Oct Dec apportioned by MoE,,,,,,,,,,
,,,,,,,,,,
Station no,5526/8,,,,,,,,,
Midas,15506,,,,,,,,,
Hyd Stn ,,,,,,,,,,
