"CLYWEDOG (DOL BACHOG)",,,,,,,,,,,,
Grid ref,SN884936,Long,-3.646519,Lat,52.528802,,,,,,,
Station no,4247/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.50,8.60,3.40,7.00,6.00,9.25,6.00,5.50,5.07,8.36,,
February,7.50,3.30,4.20,6.25,4.50,1.25,4.00,9.15,0.47,6.02,,
March,7.30,4.00,7.75,6.00,4.90,3.80,4.85,1.05,5.05,2.65,,
April,6.85,3.40,5.00,2.40,4.75,1.00,0.25,2.04,5.77,5.40,,
May,2.50,3.50,2.50,3.55,7.25,2.00,2.75,5.23,2.47,1.75,,
June,2.70,4.85,2.00,5.65,6.75,3.80,1.60,4.29,3.31,3.31,,
July,2.45,2.60,7.60,7.00,1.50,5.20,8.50,6.95,5.22,7.96,,
August,4.50,4.40,5.50,5.80,1.60,9.50,9.30,2.99,1.14,6.40,,
September,4.75,4.50,5.65,9.20,5.25,5.80,9.50,7.80,0.61,4.10,,
October,2.60,8.65,4.20,9.62,4.30,4.65,6.30,5.02,8.73,6.58,,
November,11.25,3.90,6.00,15.30,3.00,3.65,3.50,2.65,5.39,8.92,,
December,8.00,6.50,1.70,5.00,8.45,8.00,6.50,4.96,11.45,11.18,,
Total,65.90,58.20,55.50,82.77,58.25,57.90,63.05,57.63,54.68,72.63,,
Calc annual,65.90,58.20,55.50,82.77,58.25,57.90,63.05,57.63,54.68,72.63,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
