RISHWORTH (GREAT WALDEN EDGE) S GAUGE,,,,,,,,,,
Grid ref,SD996156,Long,-2.007524,Lat,53.636919,Elevation,1135,ft,,
Station no,3207/2,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.72,3.7,4.16,,,,,,
February,,0.46,4.44,0.48,,,,,,
March,,3.29,3.95,3.72,,,,,,
April,,5.08,2.3,2.96,,,,,,
May,,6.24,2.41,3.67,,,,,,
June,,1.21,3.65,2.68,,,,,,
July,,5.05,4.1,4.13,,,,,,
August,,2.49,1.87,4.58,,,,,,
September,,6.18,1.94,4.12,,,,,,
October,,9.07,5.6,5.93,,,,,,
November,,3.99,2.59,3.24,,,,,,
December,,2.5,0.58,6.76,,,,,,
Total,,52.28,37.13,46.43,,,,,,
,,,,,,,,,,
TYRain_1931-1940_19_pt1-page-013.csv 1930s-1,,,,,,,,,,
