RIVER-ALWEN-TAN-Y-GRAIG,,,,,,,,,,
Grid ref,SH935563,Long,-3.591829,Lat,53.093247,Elevation,1200,ft.,,
Station no,4302/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.19,6.84,5.02,6.84,9.3
February,,,,,,0.88,4.54,7.86,0.87,5.74
March,,,,,,2.45,3.12,1.45,2.9,2.44
April,,,,,,2.35,0.9,1.46,6.46,2.58
May,,,,,,1.25,2.38,4.42,2.56,1.8
June,,,,,,2.87,1.51,3.9,2.59,1.73
July,,,,,,6.18,6.89,5.43,3.24,4.43
August,,,,,,8.13,9.75,4.92,1.13,3.36
September,,,,,,4.87,7.96,7.36,0.42,6.89
October,,,,,,3.72,6.18,4.78,6.96,6.32
November,,,,,,2.39,3.29,2.75,6.67,10.97
December,,,,,,4.48,4.26,4.09,9.87,7.29
Total,,,,,,44.76,57.62,53.44,50.51,62.85
,,,,,,,,,,
NGR is from the 1950s record and is near Tan-y-Craig. Altitudes match.,,,,,,,,,,
"MIDAS src_id 11631, ends 1974",,,,,,,,,,
