"LESLIE (LOTHRIE RESERVOIR)",,,,,,,,,,,,
Grid ref,NO223040,Long,-3.254624,Lat,56.222193,,,,,,,
Station no,5483,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,2.16,0.62,3.13,1.74,3.01,4.93,2.01,1.16,4.09,,
February,3.34,0.57,1.26,3.30,2.82,1.77,3.50,2.74,0.88,2.63,,
March,3.64,3.04,1.15,3.51,2.35,1.65,2.57,3.02,1.39,2.48,,
April,2.27,1.94,2.64,1.77,1.14,0.97,1.27,2.55,3.00,1.62,,
May,2.64,2.00,2.52,6.24,2.92,1.34,1.97,2.44,0.61,2.99,,
June,2.47,2.98,1.31,2.95,1.60,4.06,1.53,3.48,2.31,1.76,,
July,6.16,1.82,3.74,3.06,1.47,5.25,5.99,6.39,4.19,3.58,,
August,4.35,3.69,2.20,3.67,0.83,5.99,5.29,3.93,0.79,4.92,,
September,1.83,1.83,3.75,4.09,2.30,4.34,2.00,2.89,0.77,1.65,,
October,0.54,2.81,1.65,8.28,2.28,2.30,3.03,2.47,2.20,6.41,,
November,6.03,2.28,4.51,5.74,1.75,0.74,2.70,1.00,7.40,4.22,,
December,3.37,2.78,3.74,3.73,5.95,3.63,4.50,6.92,5.50,3.04,,
Total,40.03,27.90,29.09,49.47,27.15,35.05,39.28,39.84,30.20,39.39,,
Calc annual,40.03,27.90,29.09,49.47,27.15,35.05,39.28,39.84,30.20,39.39,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
