GODALMING-BURGATE-(PARK-HATCH),,,,,,,,,,
Grid ref,TQ013380,Long,-0.55282,Lat,51.13304,Elevation,265,ft,,
Station no,175/7,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.87,2.85
February,,,,,,,,,1.57,3.33
March,,,,,,,,,1.93,3.76
April,,,,,,,,,2.98,1.97
May,,,,,,,,,2.32,1.06
June,,,,,,,,,1.06,1.17
July,,,,,,,,,4.26,2.85
August,,,,,,,,,1.74,0.13
September,,,,,,,,,0.77,1.66
October,,,,,,,,,5.61,4.26
November,,,,,,,,,6.15,9.46
December,,,,,,,,,1.83,1.75
Total,,,,,,,,,36.09,34.25
,,,,,,,,,,
House at 310ft Kitchen garden on slope with NGR at lowest point but still not 230ft as on sheet,,,,,,,,,,
1939 Total adjusted to equal monthly totals,,,,,,,,,,
1941 Moved to Godalming Burgate Stn No 62/5,,,,,,,,,,
