SCARBOROUGH - MAY LODGE,,,,,,,,
Grid ref,TA041871,Long,-0.403,Lat,54.269,Elevation,250,ft
Station no,RR7903,,,,,,,
,,,,,,,,
,1908,1909,1910,1911,1912,,,
January,1.86,0.91,3.54,1.52,3.38,,,
February,1.92,1.41,2.33,1.33,1.00,,,
March,3.16,5.67,0.73,1.87,2.77,,,
April,2.34,2.59,1.89,0.87,0.27,,,
May,1.31,1.67,2.73,0.95,3.16,,,
June,1.69,2.92,1.60,5.78,3.70,,,
July,1.66,3.38,2.88,1.66,4.24,,,
August,2.25,4.58,5.02,3.41,3.74,,,
September,2.49,2.16,0.69,3.35,2.60,,,
October,1.53,2.73,2.70,2.14,3.07,,,
November,1.75,1.71,3.98,3.85,3.12,,,
December,2.33,4.31,3.00,4.38,1.42,,,
Total,24.29,34.04,31.09,31.11,32.47,,,
,,,,,,,,
TYRain_1900-1909_22_pt1/064,,,,,,,,
TYRain_1910-1919_21_pt1/038,,,,,,,,
,,,,,,,,
"# The May Lodge Rain Gauge is marked on the old 25"" OS Map.",,,,,,,,
"# The rainfall sheet shows the elevation as 150 feet, about 100 feet too low.",,,,,,,,
