"AFTON RES (GREEN BURN)",,,,,,,,,,,,
Grid ref,NS633035,Long,-4.155099,Lat,55.306548,,,,,,,
Station no,5273/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.20,9.20,5.00,8.60,8.75,6.60,11.90,11.05,5.70,8.90,,
February,7.20,4.11,3.10,7.00,3.20,2.40,7.55,7.90,3.85,10.60,,
March,5.90,5.50,1.50,6.00,2.80,5.10,9.55,2.75,7.70,3.10,,
April,5.60,5.70,5.10,3.35,5.62,2.50,5.05,3.50,7.70,8.90,,
May,2.95,3.73,4.90,7.90,7.10,4.35,5.70,5.10,2.55,3.30,,
June,2.90,5.40,3.50,7.35,5.45,8.35,2.85,5.85,4.55,6.95,,
July,5.30,8.20,8.70,8.60,2.55,9.75,7.40,6.40,9.40,7.15,,
August,14.30,6.90,6.50,7.60,2.65,12.60,9.45,8.20,3.25,5.95,,
September,10.10,5.10,11.25,14.25,8.65,8.65,7.10,9.60,3.10,6.35,,
October,1.95,8.30,7.30,14.40,7.35,6.65,8.60,7.75,11.00,6.40,,
November,18.00,4.80,12.30,14.90,6.35,5.15,4.80,4.00,13.85,14.50,,
December,15.60,8.20,9.00,14.75,13.10,13.45,9.80,9.55,16.35,8.55,,
Total,99.00,75.14,78.15,114.70,73.57,85.55,89.75,81.65,89.00,90.65,,
Calc annual,99.00,75.14,78.15,114.70,73.57,85.55,89.75,81.65,89.00,90.65,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
