Rainfall at,WEARDALE W.W. WASKERLEY 6 WASHPOOL GILL
,
Station no,3542,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,2.39,2.73,3.09,3.78,
February,,,,,,,2.34,1.38,2.05,3.77,
March,,,,,,,1.42,1.45,1.71,1.05,
April,,,,,,,2.34,3.48,3.13,1.79,
May,,,,,,,0.96,2.06,1.03,3.99,
June,,,,,,,2.70,1.22,0.37,1.39,
July,,,,,,,3.42,3.96,0.62,0.22,
August,,,,,,,4.25,1.92,3.34,1.22,
September,,,,,,,5.16,1.84,5.43,5.03,
October,,,,,,,1.19,1.44,1.60,1.71,
November,,,,,,,2.37,0.59,2.70,2.35,
December,,,,,,,2.04,1.42,6.52,3.20,
Total,,,,,,,30.58,23.49,31.59,29.50,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.58,23.49,31.59,29.50,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,
