"NEWCASTLE & GATESHEAD W.W. SWINBURN WOODFORD",,,,,,,,,,,,
Grid ref,NZ240640,Long,-1.626637,Lat,54.970047,,,,,,,
Station no,RR1959,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.12,2.01,1.74,,,,,,,,,
February,4.88,2.71,1.33,,,,,,,,,
March,2.42,3.02,3.60,,,,,,,,,
April,2.39,1.39,1.38,,,,,,,,,
May,2.24,2.72,3.13,,,,,,,,,
June,4.95,2.01,2.38,,,,,,,,,
July,2.45,2.65,3.58,,,,,,,,,
August,5.96,3.14,2.64,,,,,,,,,
September,1.61,1.17,1.40,,,,,,,,,
October,6.55,2.74,3.34,,,,,,,,,
November,5.52,5.20,1.83,,,,,,,,,
December,3.80,3.56,5.45,,,,,,,,,
Total,47.89,32.32,31.80,,,,,,,,,
Calc annual,47.89,32.32,31.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
