ESKDALEMUIR (LOCH FELL),,,,,,,,,,,,
Grid ref,NT170047,Long,-3.309799,Lat,55.329324,,,,,,,
Station no,5041/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.50,7.50,3.97,5.59,,,,,,,,
February,6.50,2.00,3.45,4.88,,,,,,,,
March,5.30,6.00,1.01,5.03,,,,,,,,
April,7.00,4.78,4.69,2.10,,,,,,,,
May,2.76,3.25,4.44,7.16,,,,,,,,
June,4.77,7.35,2.82,9.45,,,,,,,,
July,7.43,4.86,15.45,8.37,,,,,,,,
August,11.21,7.03,8.23,7.85,,,,,,,,
September,9.45,3.90,8.40,12.20,,,,,,,,
October,1.27,7.12,4.35,,,,,,,,,
November,13.00,4.95,11.51,,,,,,,,,
December,11.00,6.66,8.24,,,,,,,,,
Total,89.19,65.40,76.56,,,,,,,,,
Calc annual,89.19,65.40,76.56,62.63,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
