CHESTER-LEAD-WORKS-FIELD,,,,,,,,,,
Grid ref,SJ414666,Long,-2.8785499,Lat,53.19324,Elevation,67,ft.,,
Station no,RR4022,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.54,2,2.96,2.76,1.14,3.4,3.27,0.94,
February,,2.83,1.76,2,2.59,2.42,0.93,0.35,0.89,
March,,2.54,1.71,1.29,2.37,1.51,1.68,1.06,1.4,
April,,0.89,3.62,0.87,0.96,1.71,1.54,0.74,1.09,
May,,1.68,2.12,1.11,1.06,1.45,6.57,1.9,0.59,
June,,2.23,3.99,3.1,2.07,2.45,2.17,1.39,2.03,
July,,1.63,3.82,1.89,4.13,1.15,2.62,2.36,5.75,
August,,3.77,2.62,1.58,1.11,1.47,0.99,1.52,3.36,
September,,1.87,1.78,4.27,2.03,3.18,3.25,2.82,1.13,
October,,2.44,2.41,3.33,1.11,5.34,4.23,2.49,1,
November,,2.29,4.03,2.55,2.13,2.85,2.51,1.09,4.08,
December,,2.48,4.31,1.19,1.99,0.86,3.85,1.79,1.73,
Total,,25.19,34.17,26.14,24.31,25.53,33.74,20.78,23.99,
,,,,,,,,,,
NGR is the Lead works in Chester. All 3 gauges have been given the same NGR but could be +/- 200m. Altitudes match; the shot tower gauge is presumably on top of the tower.,,,,,,,,,,
