PIRBRIGHT-VICARAGE,,,,,,,,,,
Grid ref,SU945561,Long,-0.64601217,Lat,51.296196,Elevation,151,ft.,,
Station no,RR8769,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.11,2.5,2.11,3.11,1.66,0.9,
February,,,1.57,3.68,1.73,2.68,0.63,0.61,1.13,
March,,,1.03,1.22,1.57,2.24,1.31,1.85,2.93,
April,,,3,1.44,1.47,1.03,1.55,1.32,1.38,
May,,,1.65,1.78,0.74,2.73,3.82,1.51,1.42,
June,,,2.88,1.89,1.18,1.79,0.6,1.36,4.05,
July,,,2.24,1.84,1.74,0.23,1.94,0.53,5.8,
August,,,1.61,0.84,1.38,0.44,0.9,2.7,1.75,
September,,,2.62,2.36,1.69,4.72,1.41,1.84,1.17,
October,,,5.22,2.07,0.87,3.15,3.19,1.15,1.28,
November,,,3.04,2.94,1.13,3.17,2.89,3.79,3.65,
December,,,2.28,0.51,2.1,1.39,4.69,1.39,1.42,
Total,,,,22.68,18.1,25.68,26.04,19.71,26.88,
,,,,,,,,,,
NGR is the vicarage. Altitudes match.,,,,,,,,,,
Nearest location covering same period is 6 km away,,,,,,,,,,
