PENARTH (ALBERT CRESCENT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST187720,Long,-3.1709,Lat,51.4412,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.23,4.59,3.99,1.09,5.74,2.34,2.38,1.92,3.88,1.4,4.81,6.54,1.8,3.74,3.01,1.38,4.77,5.3,5.36,4.38,3.72,2.43,4.85,3.48,6.02,4.55,7.68,1.41,4.77,3.17,5.3,2.47,2.55,0.8,4.06,4.58,4.92,6.4,4.07,4.61,3.82,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.95,1.52,5.03,1.07,2.93,1.67,2.25,0.66,4.48,4.18,2.79,0.8,3.23,4.18,5.66,1.55,2.23,4.16,1.29,0.11,4.08,7.08,0.38,5.03,2.76,3.19,4.39,1.48,0.59,3.05,0,5.12,0.55,3.39,1.62,6,1.46,2.48,2.83,2.48,0.16,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.22,4.65,2.2,5.11,2.7,1.35,2.61,4.02,0.77,2.91,5.89,4.72,6.05,1.5,4.43,2.93,2.46,6.06,3.36,2.6,4.01,1.66,1.33,0.14,0.69,3.84,3.75,0.63,2.24,0.93,1.74,2.96,1.7,0.96,3.19,3.6,0.53,1.03,2.98,2.15,2.03,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.83,2.41,1.59,2.63,1.32,3.43,2.71,2.09,2.78,2.41,0.36,4.13,2.26,1.47,1.91,2.18,2.15,2.01,4.16,0.7,3.25,2.69,2.49,2.26,2.08,1.74,1.62,0.39,2.54,2.68,3.6,1.68,2.53,4.9,3.33,3.98,0.14,3.13,2.69,1.02,0.83,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.06,2.24,2.63,0.11,4.08,2.74,1.44,1.66,3.24,0.9,1.89,2.44,2.05,3.07,4.71,2.65,1.44,0.62,3.36,2.18,1.75,2.34,3.83,4.04,1.95,1.85,0.43,2.77,1.48,7.68,4.2,2.03,1.55,1.13,1.76,2.32,2.59,0.98,1.83,1.52,3.61,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.53,2.32,0.8,3.67,2.22,3.39,0.34,2.49,4.76,2.55,5.43,1.81,2.55,1.14,3.27,2.68,1.48,1.31,3.19,0.08,1.32,0.63,2.78,0.23,1.67,3.16,2.27,2.07,0.65,3.45,1.07,2.1,1.63,3.29,3.59,0.97,1.31,2.02,0.67,1.27,0.59,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.98,3.95,4.17,0.83,0.82,2.33,3.16,2.38,2.31,0.09,3.16,0.67,5.13,3.92,1.79,2.61,6.65,2.4,5.21,1.11,3.81,3.02,6.59,3.21,2.04,3.8,2.48,2.14,2.84,3.9,3.55,2.3,1.75,0.27,6.13,2.91,2.65,6.38,4.21,2.72,1.94,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.3,5.68,2.94,3.82,3.06,3.12,5.46,3.5,4.99,1.83,8.86,0.97,3.49,1.43,4.1,7.06,3.62,2.69,2.69,3.36,4.31,4.28,7.21,5.88,3.84,4.47,2.49,3.64,4.15,4.78,1.88,1.96,3.34,2.27,0.99,0.62,4.27,3.69,0.19,5.6,4.33,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.34,2.66,3.31,2.57,1.51,1.12,0.96,2.89,3.37,0.31,1.77,0.7,3.03,3.08,1.67,2.72,2.5,10.44,1.69,3.13,4.16,2.84,2.99,5.16,4.72,1.71,6.91,0.66,0.66,4.03,1.83,4.28,1.96,3.92,9.08,3.2,1.73,2.05,0.65,1.49,0.58,2.1,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.25,2.94,9.31,2.51,2.05,6.29,6.19,2.46,5.87,4.92,3.36,5.07,4.66,2.27,4.52,8.17,6.66,2.61,2.65,3.65,2.27,1.26,6.26,6.25,5.45,4.38,3.42,5.24,6.45,3.71,0.99,7.25,4.03,2.93,5.36,2.03,4.13,7.75,3.52,4.85,2.15,2.9,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
