Rainfall at,SPRINGSIDE RENFREW
,
Station no,5282,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,10.64,4.40,8.80,6.28,
February,,,,,,,6.13,4.37,7.80,6.00,
March,,,,,,,2.41,1.23,6.07,1.22,
April,,,,,,,1.95,6.63,3.57,2.53,
May,,,,,,,2.12,2.90,3.80,1.22,
June,,,,,,,2.75,2.35,2.11,2.18,
July,,,,,,,4.05,4.68,1.80,3.56,
August,,,,,,,5.30,5.14,7.74,1.14,
September,,,,,,,7.15,5.84,2.20,8.84,
October,,,,,,,4.55,5.20,7.03,2.17,
November,,,,,,,5.35,1.70,4.19,6.59,
December,,,,,,5.38,6.96,4.07,8.16,6.52,
Total,,,,,,,59.36,48.51,63.27,48.25,
Calc annual,0.00,0.00,0.00,0.00,0.00,5.38,59.36,48.51,63.27,48.25,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,
