Rainfall at,PAISLEY W.W. (SPRINGSIDE)
,
Station no,5282,
,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,7.92,12.08,6.00,7.35,3.24,5.03,6.50,8.48,5.33,3.01,
February,7.18,0.04,5.15,0.94,6.75,2.77,6.47,3.52,7.66,2.18,
March,1.63,2.93,4.36,3.45,2.50,3.78,1.46,4.91,3.83,5.94,
April,2.73,6.00,3.74,3.95,3.44,1.65,2.61,1.19,3.23,2.75,
May,5.67,3.79,3.39,3.58,0.73,1.69,1.86,5.04,1.49,1.45,
June,7.90,2.15,2.81,3.06,4.97,2.21,4.09,7.09,2.56,1.13,
July,6.08,4.66,4.71,3.34,2.56,6.85,5.84,5.24,5.93,3.62,
August,2.51,3.23,4.77,5.40,2.38,4.33,3.96,3.07,1.75,2.48,
September,1.91,7.77,0.81,7.40,7.47,5.02,4.23,5.11,2.31,5.14,
October,6.25,9.09,3.21,9.67,12.56,8.41,3.60,10.80,2.60,6.18,
November,10.14,6.54,3.06,2.60,6.05,5.46,0.83,9.72,10.27,7.48,
December,8.45,12.27,1.85,8.63,3.57,8.35,4.06,3.91,3.81,6.96,
Total,68.37,70.55,43.86,59.37,56.22,55.55,45.51,68.08,50.77,48.32,
Calc annual,68.37,70.55,43.86,59.37,56.22,55.55,45.51,68.08,50.77,48.32,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
