UXBRIDGE-FRAYS-LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ052841,Long,-0.48429881,Lat,51.545998,Elevation,125,ft.,,,,,,,,,,,,,
Station no,RR7927,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.53,2.93,4.11,2.81,2.68,3.34,1.57,3.21,1.76,2.99,,,,
February,,,,,,,,1.01,1.2,2.79,0.49,0.16,2.73,3.86,0.44,3.65,2.48,,,,
March,,,,,,,,1.86,1.3,3.99,1.71,1,1.77,2.43,1.07,0.8,0.38,,,,
April,,,,,,,,2.57,4.49,2.82,4.24,1.06,3.59,1.96,3.77,2.27,2.67,,,,
May,,,,,,,,2.07,2.17,0.37,1.21,1.29,0.95,2.04,5,2.24,1.94,,,,
June,,,,,,,,2.32,1.04,1.47,3.17,0.11,1.1,0.28,2.59,0.01,2.88,,,,
July,,,,,,,,5.88,4.57,2.36,5.31,0.22,3.45,3.24,3.64,5.14,1.74,,,,
August,,,,,,,,4.99,1.52,2.76,1.52,1.41,2.93,1.92,2.49,2.65,1.32,,,,
September,,,,,,,,1.61,5.35,1.29,2.3,2.72,2.16,1.76,3.09,3.27,2.09,,,,
October,,,,,,,,3.86,1.68,0.69,1.49,0.87,0.9,5.61,3.5,2.74,,,,,
November,,,,,,,,1.67,2.62,1.83,1.26,1.7,1.47,1.71,2.69,1.7,,,,,
December,,,,,,,,1.24,2.51,4.83,2.28,1.37,2.9,2.95,3.74,2.62,,,,,
Total,,,,,,,,30.61,31.38,29.31,27.79,14.59,27.29,29.33,35.23,28.85,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to church and station that are not entirley consistent and are different for each sheet. Altitudes match.,,,,,,,,,,,,,,,,,,,,,
NGR could be up to 300m S.,,,,,,,,,,,,,,,,,,,,,
"There is a modern day Frays Lodge 1km NNE, which matches altitude but not the relationships to the church and station",,,,,,,,,,,,,,,,,,,,,
