RIGMADEN NR LONSDALE,,,,,,,,,,
Grid ref,SD609848,Long,-2.6016899,Lat,54.257368,Elevation,340,ft,,
Station no,RR7688,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,3.52,5.92,7.86,4.38,5.85
February,,,,,,3.4,5.62,4.59,4.1,9.29
March,,,,,,1.59,2.67,2.66,6.94,0.95
April,,,,,1.6,1.63,1.52,6.11,2.96,3.9
May,,,,,2.71,4.63,2.13,3.24,1.97,2.34
June,,,,,5.24,0.51,4.02,2.8,0.81,2.32
July,,,,,2.95,3.03,3.81,3.22,0.99,1.71
August,,,,,2.84,6.54,5.23,4.51,5.5,2.05
September,,,,,6.13,2.01,11.59,5.2,2.58,11.19
October,,,,,2.88,5.4,3.36,5.31,6.1,3.95
November,,,,,3.86,4.03,8.33,1.89,2.97,6.59
December,,,,,5.29,2.48,6.94,3.96,9.83,6.27
Total,,,,,,38.77,61.14,51.35,49.13,56.41
