PAMPISFORD,,,,,,,,,,
Grid ref,TL508484,Long,0.2008524,Lat,52.113365,Elevation,113,ft,,
Station no,RR1459,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,1.58,2.1,1.92,,,,,
February,,,0.93,3.11,0.62,,,,,
March,,,2.1,1.05,0.61,,,,,
April,,,2.62,1.8,1.23,,,,,
May,,,1.32,1.13,0.66,,,,,
June,,,2.27,3.84,1.01,,,,,
July,,,2.2,2.61,2.29,,,,,
August,,,1.51,0.72,1.41,,,,,
September,,,2.23,3.85,2.25,,,,,
October,,,4.88,2.5,1.9,,,,,
November,,,2.49,2.48,1.4,,,,,
December,,,2.42,2.36,2.27,,,,,
Total,,,26.55,27.55,17.57,,,,,
