LITTON-MANOR-COTTAGE,,,,,,,,,,
Grid ref,SD908741,Long,-2.142394,Lat,54.162621,Elevation,825,ft.,,
Station no,3342/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.45,6.78,5.94,4.45,8.22
February,,,,,,2.39,5.77,8.27,1.37,5.62
March,,,,,2.17,2.78,5.29,1.43,4.45,1.87
April,,,,,2.28,1.73,0.91,2.01,4.93,5.04
May,,,,,6.02,2.88,3.69,5.93,1.22,1.64
June,,,,,3.71,3.08,2.6,6.1,2.31,2.91
July,,,,,1.62,4.52,6.08,4.32,3.88,7.7
August,,,,,0.94,10.96,7.21,5.27,1.03,3.55
September,,,,,4.06,4.77,6.35,6.8,0.45,4.06
October,,,,,4.75,4.23,7.77,5.8,6.99,6.25
November,,,,,3.24,1.91,2.82,2.15,8.45,10.31
December,,,,,9.53,6.05,6.57,5.6,11.91,8.95
Total,,,,,,50.75,61.84,59.62,51.44,66.12
,,,,,,,,,,
NGR is from the 1950s record and is near Litton.,,,,,,,,,,
Stated altitude is 50 ft too high or the gauge is 100m S to match altitude.,,,,,,,,,,
"MIDAS src_id 2380 ends 1978 but record is called Croft Cottage and has an NGR 300m W, did the gauge move?",,,,,,,,,,
