SLAIDBURN-PARKS-CLOUGH,,,,,,,,,,
Grid ref,SD720587,Long,-2.4288781,Lat,54.023532,Elevation,910,ft.,,
Station no,3088/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.4,8.07
February,,,,,,,,,1.26,5.66
March,,,,,,,,,3.44,1.7
April,,,,,,,,,4.22,4.35
May,,,,,,,,,1.3,2.06
June,,,,,,,,,3.72,3.59
July,,,,,,,,,5.06,8.06
August,,,,,,,,,0.48,4.57
September,,,,,,,,,0.47,4.18
October,,,,,,,,,6,4.49
November,,,,,,,,,6.9,11.02
December,,,,,,,,,11.32,7.24
Total,,,,,,,,,48.57,64.99
,,,,,,,,,,
NGR is from 1950s record and is near Parks Clough. Stated altitude slightly low or gauge might be 100m SW to match altitude.,,,,,,,,,,
MIDAS src_id 12325 ends 1982,,,,,,,,,,
