PUBLOW-VICARAGE,,,,,,,,,,,,
Grid ref,ST623641,Long,-2.54247,Lat,51.37536,Elevation,96,ft,,,,
Station no,RR8519,,,,,,,,,,,
,,,,,,,,,,,,
,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.79,1.56,3.65,1.37,,,,,,,,
February,1.69,0.52,5.6,2.55,,,,,,,,
March,2.92,3.07,0.95,3.16,,,,,,,,
April,2.77,2.41,2.95,1.45,,,,,,,,
May,1.81,1.79,1.82,1.12,,,,,,,,
June,0.32,3.89,5.44,1.88,,,,,,,,
July,2.39,3.34,2.63,0.24,,,,,,,,
August,3.4,2.09,6.02,,,,,,,,,
September,3.51,3.13,0.23,,,,,,,,,
October,1.96,5.58,5.48,,,,,,,,,
November,1.33,1.38,5.35,,,,,,,,,
December,2.46,5.05,5.72,,,,,,,,,
Total,26.35,33.81,45.84,,,,,,,,,
,,,,,,,,,,,,
1908 Gauge moved 500yds E and down into valley,,,,,,,,,,,,
