KENTON-KINGSHILL-DRIVE,,,,,,,,,,
Grid ref,TQ166897,Long,-0.31811478,Lat,51.59409,Elevation,165,ft.,,
Station no,862/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,1.42,1.7,1,4.32,4,3.12,5.2,2.14
February,,,1.18,0.48,2.74,1.91,4.41,0.45,0.96,1.7
March,,,2.15,2.65,0.48,1.14,2.87,0.42,1.46,2.66
April,,,2.14,2.15,3.06,1.76,2.97,0.15,2.91,1.84
May,,,1.4,1.14,0.64,0.45,3.01,1.71,1.53,1.6
June,,,1.56,0.81,3.38,3.5,1.91,0.47,2,1.15
July,,,1.38,1.03,1.48,3.66,0.59,1.15,2.02,2.2
August,,,1.4,2.82,1.75,0.6,1.5,2.38,3.92,0.26
September,,,2.68,1.88,3.9,3.19,1.69,2.08,1.5,1.02
October,,,1.49,1.8,2.62,1.85,2.35,3.23,5.84,2.75
November,,,0.85,2.1,4.3,3.1,1.39,3.63,4.55,5.42
December,,,0.95,5.66,2.81,1.76,3.57,3.56,1.39,2.03
Total,,,18.6,24.22,28.16,27.24,30.26,22.35,33.28,24.77
,,,,,,,,,,
NGR is on Kingshill Drive with stated relationship to church and staton.,,,,,,,,,,
"Stated altitude, 250ft., is too high for the area, OS figure used",,,,,,,,,,
