ELTERWATER LINGMOOR,,,,,,,,,,
Grid ref,NY303045,Long,-3.0759468,Lat,54.431123,Elevation,1485,ft,,
Station no,RR8853,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,7.55,14,17,7,15,,,
February,,,11.75,12.5,10.93,20.5,3,,,
March,,,10.75,4,11,9.25,11,,,
April,,,7,4.5,2.25,6,,,,
May,,,6.05,3.75,10,5,,,,
June,,,8.75,7,1,3.25,,,,
July,,,16,6,9,4.5,,,,
August,,,6.5,10.25,2,4.25,,,,
September,,,6.95,11,8,14.25,,,,
October,,,8.24,11.25,10,11,,,,
November,,,11.75,16,5.25,7,,,,
December,,,8.5,9.75,15.5,5,,,,
Total,,,109.79,110,101.93,97,,,,
