CROYDON-WADDON,,,,,,,,,,
Grid ref,TQ314639,Long,-0.11416185,Lat,51.358982,Elevation,192,ft.,,
Station no,100/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.4,2.05
February,,,,,,,,,0.05,1.8
March,,,,,,,,,2.12,1.69
April,,,,,,,,,2.3,0.64
May,,,,,,,,,1.17,1.6
June,,,,,,,,,0.73,1.02
July,,,,,,,,,1.23,2.52
August,,,,,,,,,1.02,2.76
September,,,,,,,,,0.14,3.07
October,,,,,,,,,2.22,5.83
November,,,,,,,,,3.61,4.74
December,,,,,,,,,4.49,2.72
Total,,,,,,,,,21.48,30.44
,,,,,,,,,,
NGR is from 1950s record. Altitudes match.,,,,,,,,,,
"MIDAS src_id 728 but says started in 1898 and considered a continuation forCroydon Airport (6000m away), but Croydon Airport started in 1920 and not sure which location used for earlier readings.",,,,,,,,,,
