CHEADLE-THE-HEATH-HOUSE-OTHER-GAUGE,,,,,,,,,,
Grid ref,SK026392,Long,-1.9627504,Lat,52.950175,Elevation,647,ft.,,
Station no,RR1107,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,2.6,2.45,3.49,,,,
February,,,,1.07,2.51,1.39,,,,
March,,,,2.98,1.58,0.71,,,,
April,,,,0.54,1.06,,,,,
May,,,,2.98,1.4,,,,,
June,,,,3.43,1.2,3.26,,,,
July,,,,3.72,2.18,6.77,,,,
August,,,,3.8,3.47,2.52,,,,
September,,,,2.12,3.04,,,,,
October,,,,3.51,2.54,6.23,,,,
November,,,,2.05,5.47,4.1,,,,
December,,,,0.42,3.86,1.59,,,,
Total,,,,29.22,30.76,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is Heath House. Altitudes match. The observer had 2 gauges this is the other gauge, which was probably  in the same place as the Main Gauge but moved into the Paddock in 1875 but no indication of how far.",,,,,,,,,,
