"DUCHRAY VALLEY ( BEN LOMOND ) ",,,,,,,,,,,,
Grid ref,NN401017,Long,-4.577717,Lat,56.181016,,,,,,,
Station no,5364,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.65,6.75,8.00,9.56,5.20,4.70,13.20,10.60,3.30,5.40,,
February,4.60,4.15,6.50,6.62,4.49,3.10,5.80,3.70,4.50,7.50,,
March,4.30,8.40,2.20,6.70,2.11,5.65,10.70,3.50,8.50,3.60,,
April,6.20,4.70,3.60,5.50,6.90,3.20,4.00,3.70,7.10,11.40,,
May,3.30,3.35,5.70,5.50,6.00,7.00,4.30,6.70,2.30,5.70,,
June,4.20,6.00,2.70,6.20,5.90,5.50,3.50,4.40,4.60,5.80,,
July,6.40,5.85,10.55,5.10,1.30,8.90,7.90,6.40,9.20,9.50,,
August,11.60,5.90,7.60,8.65,1.70,9.20,7.85,9.20,4.70,5.30,,
September,7.60,6.20,12.60,12.90,8.80,9.80,7.30,6.40,2.80,5.20,,
October,3.50,9.15,7.30,15.60,8.00,7.10,11.10,9.50,9.30,6.80,,
November,13.35,3.40,18.10,14.20,5.25,5.00,3.00,3.65,10.20,12.30,,
December,13.80,6.90,10.50,17.50,15.20,12.55,11.50,10.60,15.50,9.80,,
Total,90.50,70.75,95.35,114.03,70.85,81.70,90.15,78.35,82.00,88.30,,
Calc annual,90.50,70.75,95.35,114.03,70.85,81.70,90.15,78.35,82.00,88.30,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
