Rainfall at,STOTFOLD THREE COUNTIES MENTAL HOSPITAL
,
Station no,1168,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.18,1.86,1.96,0.96,2.35,0.99,1.92,2.11,2.13,1.24,2.09,
February,0.36,0.22,1.35,2.62,1.01,2.79,2.67,2.94,1.09,0.54,0.46,
March,1.36,0.71,1.45,2.15,0.82,1.35,0.18,1.88,1.05,0.05,1.34,
April,2.80,1.10,2.65,1.94,2.73,1.60,3.01,1.55,1.42,1.43,1.59,
May,0.68,0.80,1.29,0.97,5.01,1.89,1.90,0.73,1.12,1.91,3.31,
June,1.13,0.42,0.97,0.62,1.78,0.08,2.98,2.48,1.34,0.71,0.34,
July,2.91,0.14,3.44,2.73,3.55,2.47,3.23,3.08,2.41,1.16,2.46,
August,0.80,0.94,1.79,2.84,2.78,2.34,0.78,2.39,2.49,0.48,2.56,
September,1.60,1.20,2.54,2.12,2.22,2.61,1.96,3.80,0.81,0.10,2.61,
October,1.42,0.55,0.50,3.73,3.42,3.42,2.12,1.14,3.04,4.85,0.73,
November,1.15,1.49,0.88,0.95,2.62,1.59,3.32,2.20,1.52,4.79,3.43,
December,1.42,1.27,1.76,1.95,1.99,1.37,0.25,2.18,2.36,3.66,2.08,
Total,17.81,10.70,20.58,23.58,30.28,22.50,24.32,26.48,20.78,20.92,23.00,
Calc annual,17.81,10.70,20.58,23.58,30.28,22.50,24.32,26.48,20.78,20.92,23.00,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,
