STOTFOLD (THREE COUNTIES HOSPITAL),,,,,,,,,,,,
Grid ref,TL203350,Long,-0.249027,Lat,52.000417,,,,,,,
Station no,1168,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,1.34,0.85,0.75,1.61,3.21,0.84,2.06,2.44,2.30,,
February,3.41,0.55,1.53,1.76,1.48,0.62,2.33,1.92,0.11,1.79,,
March,2.45,2.53,0.38,2.00,1.10,0.50,0.67,1.19,2.09,1.05,,
April,2.26,1.47,1.97,0.15,0.43,0.99,0.10,0.85,1.50,0.36,,
May,2.62,2.26,1.22,2.48,4.13,0.32,0.88,1.35,0.52,1.09,,
June,0.57,0.99,1.96,2.94,2.87,2.65,1.43,5.38,0.52,1.96,,
July,0.79,0.33,2.27,2.78,0.60,4.20,2.43,3.46,3.04,2.44,,
August,3.45,3.81,2.32,3.23,1.34,4.10,3.32,3.13,1.72,2.76,,
September,2.65,2.05,1.78,1.22,1.21,1.74,2.33,3.45,0.06,3.18,,
October,1.03,2.14,2.62,1.31,1.76,1.60,1.83,1.73,1.25,4.55,,
November,3.84,2.98,0.96,3.59,1.19,0.63,1.75,1.31,1.54,3.36,,
December,1.36,1.79,0.42,1.83,2.07,2.95,1.86,2.28,2.80,2.70,,
Total,26.94,22.24,18.28,24.04,19.79,23.51,19.77,28.11,17.59,27.54,,
Calc annual,26.94,22.24,18.28,24.04,19.79,23.51,19.77,28.11,17.59,27.54,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
