"STOTFOLD (THREE COUNTIES HOSPITAL)",,,,,,,,,,,,
Grid ref,TL203350,Long,-0.249027,Lat,52.000417,,,,,,,
Station no,1168,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.94,0.70,0.61,2.26,1.33,1.06,2.74,0.86,1.07,0.78,,
February,4.04,0.95,1.08,0.78,2.95,0.89,1.26,1.05,1.11,0.35,,
March,0.66,2.53,1.05,2.73,1.41,2.15,1.56,0.70,2.33,2.79,,
April,1.22,2.30,0.54,1.42,0.98,1.53,0.69,2.61,2.48,1.25,,
May,1.02,1.29,2.46,2.82,1.34,1.50,0.86,3.46,1.22,1.64,,
June,2.31,1.31,2.48,6.22,1.02,2.72,3.41,1.48,1.00,4.70,,
July,1.89,1.99,1.23,4.07,2.54,1.17,0.41,1.49,2.08,2.86,,
August,3.22,1.63,3.77,3.30,1.30,4.30,0.65,1.90,2.10,1.64,,
September,0.28,1.14,1.09,1.93,1.87,1.44,1.05,0.43,1.19,1.71,,
October,1.96,1.50,1.52,5.20,1.26,1.22,3.18,3.05,1.27,3.77,,
November,1.74,1.06,1.23,2.30,0.96,2.14,3.80,1.75,0.74,0.76,,
December,1.97,3.14,1.18,1.55,1.53,0.68,2.36,2.86,1.45,2.75,,
Total,23.25,19.54,18.24,34.58,18.49,20.80,21.97,21.64,18.04,25.00,,
Calc annual,23.25,19.54,18.24,34.58,18.49,20.80,21.97,21.64,18.04,25.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
