KILBIRNIE (PUNDEAVON RESERVOIR 2.),,,,,,,,,,
Grid ref,NS294577,Long,-4.721987,Lat,55.782427,Elevation,904,ft,,
Station no,5253/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.01,4.35,6.1,7.9,6.6,2.8,5.68
February,,,,7.12,3.85,3.1,4.4,6.14,2.32,7.13
March,,,,4.87,1.7,4.87,9.1,2.3,4.4,2.8
April,,,,4.3,7.4,2.5,3.8,3.2,3.1,8.7
May,,,,4.4,6.8,5.8,3.4,4.5,1.6,3.4
June,,,,7.3,5,5,3.2,2.4,3.3,5.05
July,,,,7.15,2.4,9,7.7,5.4,8.01,7.4
August,,,,9.23,1.75,7.7,7.68,4.3,2.65,5.92
September,,,,11,8.15,7.2,5.82,3.95,2.04,5.3
October,,,,13.9,5.6,5.1,10.2,4.1,10.03,3.76
November,,,,12.55,3.8,4.35,3,3.9,8.44,10.1
December,,,,12.05,11.73,10.25,5.7,5.98,12.12,11.8
Total,,,,101.88,62.53,70.97,71.9,52.77,60.81,77.04
