"LONDON CAMDEN SQUARE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,46,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,2.51,1.83,0.52,1.47,2.94,,,,,,,
February,1.09,0.03,1.62,2.95,1.71,,,,,,,
March,1.85,2.04,1.08,0.31,1.18,,,,,,,
April,2.03,1.15,0.99,0.22,1.76,,,,,,,
May,1.27,2.73,1.52,0.83,1.88,,,,,,,
June,2.93,0.88,2.47,0.67,1.86,,,,,,,
July,4.28,3.85,1.66,2.50,3.29,,,,,,,
August,1.61,4.77,3.00,1.63,2.89,,,,,,,
September,0.67,1.09,2.23,1.08,1.04,,,,,,,
October,1.22,4.81,3.85,3.91,4.53,,,,,,,
November,1.70,2.02,2.67,2.25,2.93,,,,,,,
December,0.57,3.26,1.37,2.26,2.35,,,,,,,
Total,21.73,28.46,22.98,20.08,28.36,,,,,,,
Calc annual,21.73,28.46,22.98,20.08,28.36,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
