LLANSILIN-PENYGWELY-RES-STATION-4323/2,,,,,,,,,,
Grid ref,SJ222320,Long,-3.1575079,Lat,52.879815,Elevation,1055,ft.,,
Station no,4323/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.14,4.25,6.33,7.52
February,,,,,,,3.6,6.45,0.37,5.37
March,,,,,,,2.86,1.78,2.93,2.63
April,,,,,,,0.36,0.97,4.74,1.8
May,,,,,,0.63,2.63,3.99,3.08,2.32
June,,,,,,1.59,1.31,4.43,2.71,1.89
July,,,,,,4.52,5.74,5.76,4.1,4.28
August,,,,,,6.4,7.44,3.99,1.36,5.43
September,,,,,,4.34,8.34,6.5,0.49,5.52
October,,,,,,2.02,3.25,3.13,3.86,9.21
November,,,,,,1.83,2.38,1.45,5.75,8.01
December,,,,,,4.44,2.54,4,8.97,4.15
Total,,,,,,,44.59,46.7,44.69,58.13
,,,,,,,,,,
NGR is at the foot of the dam at the stated altitude as mentioned on the record for the gauge at station no 4323. 1950s record has NGR of SJ222322 which is away from the dam and the altitude does not match,,,,,,,,,,
"There are 8 random duplicated readings between the 3 gauges where they overlap for just over 17 year (between 1943 and 1906, which is 211 readings and this is level of duplication is not suspicious.",,,,,,,,,,
