"COVENTRY CITY HOSPITAL",,,,,,,,,,,,
Grid ref,SP337796,Long,-1.505971,Lat,52.413367,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.44,0.98,1.04,2.17,2.66,0.72,3.53,0.93,0.69,1.27,,
February,3.82,1.64,1.51,1.05,3.13,0.80,2.41,1.07,0.90,0.75,,
March,0.62,1.78,1.68,4.03,1.41,3.02,1.24,1.05,2.64,3.05,,
April,1.27,1.92,2.19,1.56,0.90,1.48,0.46,1.81,3.65,1.43,,
May,1.66,0.88,2.24,3.21,1.55,0.26,2.23,3.69,2.24,1.55,,
June,3.15,2.64,2.47,2.65,0.33,2.95,3.37,2.52,1.49,3.05,,
July,1.62,2.46,1.48,2.69,2.56,0.87,0.96,2.77,2.43,3.49,,
August,3.00,1.79,3.47,3.97,1.73,4.62,1.00,2.89,3.16,1.91,,
September,0.45,1.21,1.07,2.13,1.92,2.01,1.02,0.78,1.45,2.36,,
October,2.77,1.30,2.29,6.38,0.60,1.03,5.17,4.64,1.23,3.75,,
November,1.99,0.69,1.60,1.57,1.31,2.74,2.93,2.07,1.18,0.61,,
December,5.09,4.19,1.48,1.34,1.88,0.82,2.09,3.35,2.04,3.43,,
Total,28.88,21.48,22.52,32.75,19.98,21.32,26.41,27.57,23.10,26.65,,
Calc annual,28.88,21.48,22.52,32.75,19.98,21.32,26.41,27.57,23.10,26.65,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
