Matheson Road,,,,,,,,,,
Grid ref,NB428329,Long,-6.380333,Lat,58.209583,Elevation,30,ft,,
Station no,5796,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,10.56,6.18,7.05,6.13,3.24,4.48,,,
February,,0.64,3.76,2.88,5.24,2.48,4.25,,,
March,,3.1,2.19,3.16,4.09,1.64,,,,
April,,4.04,3.26,4.63,2.53,2.04,,,,
May,,1.55,0.94,2.47,2.07,1.1,,,,
June,,1.32,2.7,2.08,2.79,0.93,,,,
July,,2.96,3.13,4.83,2.6,3.74,,,,
August,,4.92,6.5,5.09,3.95,3.53,,,,
September,,5.03,0.76,6.49,7.87,4.21,,,,
October,,5.86,5.46,7.57,9.03,5.7,,,,
November,,4.73,1.86,2.56,3.68,4.53,,,,
December,,4.2,2.16,3.58,3.58,8.63,,,,
Total,,48.91,38.9,52.39,53.56,41.77,,,,
,,,,,,,,,,
Approximate Location in Stornoway on Matheson rd,,,,,,,,,,
but CEDA GR is 2 miles out and in the sea,,,,,,,,,,
