WELLINGBOROUGH (CROYLAND ABBEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP891676,Long,-0.6939,Lat,52.3,Elevation,169,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,0.33,1.98,2.33,0.89,2.4,,,,,,,,,,,,,,,0.44,1.39,1.64,2.61,2.43,1.88,3.45,3.33,0.89,1.19,2.09,1.5,0.88,1.69,1.5,2.55,1.18,1.95,0.92,2.59,3.02,1.06,0.83,1.86,2.15,0.84,3.52,1.13,1.24,0.85,2.01,0.76,3.15,3.14,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.11,0.52,0.27,0.64,2.18,,,,,,,,,,,,,,,3.01,3.27,1.8,3.23,0.67,2.8,0.42,0.65,2.72,2.13,0.87,0.06,1.54,2.21,1.97,0.12,0.54,2.73,1.07,1.74,4.65,0.89,1.29,0.66,3.15,0.59,1.71,1.15,1.07,0.45,2.28,1.17,1.71,0.72,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.09,3.81,0.61,3.73,1.15,,,,,,,,,,,,,,,1.21,1.95,1.55,1.73,1.24,1.11,2.58,1.51,3.04,2.22,2.14,1.04,0.91,0.16,1.12,2.03,2.18,3.31,1.14,0.97,0.72,1.96,1.27,2.91,1.07,2.13,1.36,0.97,3.13,2.44,0.66,1.84,2.3,3.08,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.89,1.94,1.12,1.31,1.22,,,,,,,,,,,,,,,1.68,1.5,3.3,2.04,1.78,2.38,2.14,1.38,1.65,2.7,0.63,1.11,0.63,0.28,1.14,1.39,0.98,1.61,1.67,1.59,0.71,2.32,1.11,1.72,1.17,1.45,0.64,1.96,3.32,1.69,1.63,0.7,0.11,2.37,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.07,3.4,0.51,1.53,1.86,,,,,,,,,,,,,,,1.28,0.83,2.17,2.25,1.2,2.58,4.84,2.1,1.05,3.72,1.79,3.28,1.2,1.44,1.33,0.19,0.36,1.61,2.98,1.52,1.15,1.63,1.67,3.21,2.22,0.87,1.54,4.94,1.96,1.16,2.38,2.59,1.57,1.66,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.81,2.02,2.54,1.11,2.22,,,,,,,,,,,,,,,2.53,2.43,3.11,4.7,1.02,1.98,1.09,1.28,1.95,0.56,2,3.61,1.92,0.68,1.85,0.95,2.24,2.41,0.99,1.07,2.45,1.57,2.46,3,1.04,4.83,4.03,1.82,1.04,3,1.55,1.62,3.14,0.65,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.98,2.09,0.62,0.66,3.55,,,,,,,,,,,,,,,7.06,4.07,4.39,4.09,3.54,0.51,4.92,1.01,4.69,2.32,2.4,2.27,1.89,3.12,3.46,2.39,0.99,0.11,0.91,1.53,1.23,1.29,0.95,2.44,2.03,0.59,0.93,2.51,3.45,2.86,1.61,0.12,4.2,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.7,2.45,1.81,0.44,3.66,,,,,,,,,,,,,,,1.13,4.38,1.85,1.34,2.05,3.19,2.03,1.15,1.77,2.19,1.39,3.51,2.33,2.02,2.79,2.25,1.84,2.88,1.99,1.62,2.66,2.08,2.69,3.18,3.44,2.31,1.34,2.16,3.29,2.07,1.96,1.77,6.41,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.51,3.12,2.16,1.95,0.39,,,,,,,,,,,,,,,4.45,1.82,3.76,4.87,1.46,4.18,1.39,2.03,1.05,2.6,0.76,0.78,3.23,0.73,1.83,0.82,5.06,2.86,0.43,2.25,0.55,1.55,1.66,2.33,1.86,1.29,0.91,0.47,1.57,3.11,0.53,1.29,1.16,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.32,2.32,2.26,1.64,4.32,,,,,,,,,,,,,,,5.39,3.31,5.24,1.88,1.29,4.83,3.13,1.92,0.46,3.14,1.2,5.69,3.91,2.37,2.11,2.07,3.36,1.28,2.3,2.13,1.67,1.91,1.72,5.46,0.68,1.04,4.02,3.37,1.38,3.21,2.19,2.08,2.05,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
