"EDINBURGH W.W. (RAVENSCRAIG)",,,,,,,,,,,,
Grid ref,NT142140,Long,-3.356776,Lat,55.412386,,,,,,,
Station no,5067,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.40,10.50,3.00,7.50,8.30,5.85,13.80,12.80,4.60,10.00,,
February,9.00,2.50,4.27,9.00,3.50,2.80,5.90,6.50,4.10,10.50,,
March,8.00,6.80,1.47,7.50,3.62,4.22,9.00,2.90,7.00,4.80,,
April,8.70,7.80,4.75,2.00,1.68,1.90,5.70,3.30,8.30,8.70,,
May,3.43,3.72,5.25,7.80,6.70,6.50,4.00,4.80,2.80,4.80,,
June,4.43,4.91,3.52,9.04,6.00,6.80,4.20,4.90,4.50,4.90,,
July,7.00,5.38,15.50,8.53,4.20,9.70,6.50,7.00,6.90,8.00,,
August,13.28,7.50,8.01,9.20,2.70,10.20,8.50,8.10,2.30,6.30,,
September,11.80,3.87,11.04,13.52,8.70,8.30,7.00,7.00,2.30,5.70,,
October,1.49,8.94,6.51,18.20,6.10,7.10,11.70,6.10,10.00,7.00,,
November,19.83,7.40,15.02,13.52,4.40,3.80,5.70,2.90,18.50,13.10,,
December,19.33,9.60,9.53,12.04,10.53,13.90,11.20,6.90,12.80,5.80,,
Total,116.69,78.92,87.87,117.85,66.43,80.07,93.20,73.20,84.10,89.60,,
Calc annual,116.69,78.92,87.87,117.85,66.43,81.07,93.20,73.20,84.10,89.60,,
Difference,0.00,0.00,0.00,0.00,0.00,-1.00,-0.00,-0.00,0.00,0.00,,
