RIVER-ALWEN-COED-TAI-ISAF,,,,,,,,,,
Grid ref,SH944544,Long,-3.5777702,Lat,53.076353,Elevation,1250,ft.,,
Station no,4300/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.23,7.4,5.32,6.82,8.92
February,,,,,,0.86,5.09,8.81,0.86,5.95
March,,,,,,2.61,3.6,1.61,2.88,2.44
April,,,,,,2.55,1.04,1.56,6.65,2.68
May,,,,,,1.23,2.3,4.21,2.6,1.97
June,,,,,,2.5,1.22,4.27,2.54,1.8
July,,,,,,5.5,7.13,5.06,3.92,4.62
August,,,,,,8.05,9.05,4.21,1.15,3.2
September,,,,,,4.8,7.5,7.94,0.42,6.75
October,,,,,,4.32,5.5,4.87,6.87,6.07
November,,,,,,2.67,2.98,2.52,6.71,11.35
December,,,,,,4.95,4.54,4.22,8.56,6.59
Total,,,,,,45.27,57.35,54.6,49.98,62.34
,,,,,,,,,,
NGR is from the 1950s record and is Coed Tai Isaf.,,,,,,,,,,
Stated altitude is 60 ft too high or NGR is 100m E to match altitude.,,,,,,,,,,
"MIDAS src_id 11633, ends 1983 but locates the gauge 340m SSW but at the same altitude, did the gauge move post 1969",,,,,,,,,,
