WOKINGHAM-BUCKS-COPSE-2ND-GAUGE,,,,,,,,,,
Grid ref,SU805682,Long,-0.84402684,Lat,51.407122,Elevation,174,ft.,,
Station no,776/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.99,2.64,
February,,,,,,,,2.3,0.17,
March,,,,,,,,1.47,2.64,
April,,,,,,,,1.17,2.13,
May,,,,,,,,1.96,0.34,
June,,,,,,,,4.16,0.8,
July,,,,,,,,1.51,3.46,
August,,,,,,,,3.94,1.38,
September,,,,,,,,3.31,0.27,
October,,,,,,,2.12,2.69,2.6,
November,,,,,,,2.5,2.38,2.22,
December,,,,,,,2.41,2.37,3.74,
Total,,,,,,,,30.25,22.39,
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is from 1950s record and is Bucks Copse Council Depot but slightly different location to other gauge based on quoted NGR,,,,,,,,,,
"This is a 2nd gauge at this location and the readings are very close with about 50% of the readings being identical, possibly suspicious",,,,,,,,,,
