WREXHAM-WW-BRYN-ADDA,,,,,,,,,,
Grid ref,SJ250453,Long,-3.1189909,Lat,52.999748,Elevation,1214,ft.,,
Station no,4288/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.08,,4.82,2.69,4.21,5.69,7.06
February,,,,4.12,2.49,0.79,3.96,7.48,1.58,4.81
March,,,,2.9,3.74,2.32,1.98,1.76,2.35,3.22
April,,,,0.92,1.48,2.38,0.49,1.27,5.73,1.91
May,,,,4.59,5.1,0.66,1.89,2.82,2.63,1.79
June,,,,5.27,3.73,2.31,1.57,4.79,2.65,1.54
July,,,,3.38,0.34,5.48,6.47,4.96,3.58,3.53
August,,,,4.73,1.33,8.79,7.71,4.51,1.23,4.33
September,,,,4.12,1.88,4.03,9.68,4.42,0.27,5.81
October,,,1.87,5.84,2.77,2.54,3.27,3.23,4.39,8.87
November,,,3.06,9.22,3.28,1.87,2.32,1.86,5.62,8.17
December,,,2.03,3.85,4.98,4.14,2.83,4.27,7.88,4.47
Total,,,,52.02,,40.13,44.86,45.58,43.6,55.51
,,,,,,,,,,
NGR is from the 1950s record and is on Bryn Adda.,,,,,,,,,,
Stated altitude is 25 ft too high or gauge is 100m W.,,,,,,,,,,
"MIDAS src_id 11667, ends 1983",,,,,,,,,,
