Rainfall at,LITTLEBOROUGH (BLACKSTONE EDGE)
,
Station no,2902,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.57,4.33,6.54,7.27,4.12,5.76,3.71,9.84,2.48,2.59,
February,6.42,1.55,3.44,2.62,6.15,7.37,0.86,3.89,3.85,5.69,
March,4.08,2.51,1.77,0.67,1.55,1.57,6.96,2.36,1.79,3.24,
April,2.58,2.35,2.90,3.20,2.93,2.11,4.97,2.13,5.21,4.37,
May,2.62,3.54,3.42,4.39,4.61,2.42,2.54,1.63,4.52,2.54,
June,1.33,1.13,4.58,3.86,4.98,4.98,3.70,5.55,0.98,2.52,
July,2.04,4.07,3.49,4.58,2.99,5.30,3.27,2.39,2.65,4.70,
August,8.21,4.45,7.19,4.18,3.69,8.03,0.43,5.75,5.07,6.74,
September,0.87,2.95,5.54,6.45,3.57,8.69,3.66,3.73,1.65,8.37,
October,5.55,7.77,3.53,5.23,7.48,1.27,1.62,3.26,6.21,2.77,
November,3.54,1.53,4.02,8.28,0.82,8.75,8.22,2.67,7.37,6.17,
December,2.60,4.38,2.74,4.77,3.63,4.17,4.59,4.78,8.39,2.90,
Total,41.41,40.56,49.16,55.50,46.52,60.42,44.53,47.98,50.17,52.60,
Calc annual,41.41,40.56,49.16,55.50,46.52,60.42,44.53,47.98,50.17,52.60,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
