ABINGTON-HALL,,,,,,,,,,
Grid ref,TL527488,Long,0.22875646,Lat,52.116437,Elevation,90,ft,,
Station no,RR7269,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.36,1.34,3.02,2.33,1.62,2.77,1.23,,,
February,1.34,0.7,1.05,0.6,1.27,2.48,4.46,,,
March,0.61,1.63,2.38,1.45,3.38,1.31,3.62,,,
April,1.79,0.73,0.14,1.43,0.65,0.88,1.18,,,
May,2.64,1.13,1.2,2.31,1.03,2.18,1.88,,,
June,1.09,2.31,2.41,0.91,2.3,1.61,1.36,,,
July,1.53,0.52,2.12,1.33,1.35,2.03,1.72,,,
August,2.22,0.53,7.12,0.53,0.76,4.4,3.38,,,
September,1.18,1.29,2.09,1.49,0.54,1.32,1.29,,,
October,1.53,2.11,1.47,3.08,2.08,1.14,2.56,,,
November,1.68,2.64,1.68,1.62,2.23,2.46,3.09,,,
December,2.85,3.26,1.88,0.65,4.85,3.2,2.55,,,
Total,19.82,18.19,26.56,17.73,22.06,25.78,28.32,,,
