"RANNOCH MOOR, CORROUR, CAM BRIDGE NO 5",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,5750,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,5.39,7.69,7.35,,
February,,,,,,,,5.63,5.61,2.35,,
March,,,,,,,,7.40,6.40,0.52,,
April,,,,,,,3.78,2.72,1.83,3.70,,
May,,,,,,,4.65,4.83,3.17,4.62,,
June,,,,,,,0.94,4.78,4.16,0.66,,
July,,,,,,,5.62,2.04,3.91,3.68,,
August,,,,,,,5.26,5.83,4.70,4.24,,
September,,,,,,,3.37,1.91,8.50,2.91,,
October,,,,,,,8.50,3.16,1.40,15.44,,
November,,,,,,,4.94,5.89,7.29,7.75,,
December,,,,,,,5.74,6.61,5.70,6.90,,
Total,,,,,,,,56.19,60.36,60.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,42.80,56.19,60.36,60.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
