"GLENGYLE OLD SITE",,,,,,,,,,,,
Grid ref,NN388133,Long,-4.605699,Lat,56.284688,,,,,,,
Station no,5522,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.51,6.30,6.16,8.40,6.30,5.03,15.10,11.69,,,,
February,6.63,3.02,5.04,8.66,4.19,2.27,8.80,,,,,
March,5.48,9.52,3.44,6.92,2.52,4.82,8.36,,,,,
April,8.15,4.28,5.74,4.24,6.38,5.54,3.92,,,,,
May,2.07,2.19,5.92,4.91,5.73,6.23,4.08,,,,,
June,4.08,7.56,2.44,5.65,4.40,5.37,3.33,,,,,
July,5.36,4.06,9.03,4.26,1.42,6.95,6.53,,,,,
August,8.88,6.93,5.95,8.14,1.54,7.25,6.76,,,,,
September,7.30,4.69,11.98,11.32,8.26,9.25,5.03,,,,,
October,3.39,9.48,8.22,15.86,8.03,6.32,9.23,,,,,
November,13.47,3.13,14.45,15.28,4.47,4.36,4.16,,,,,
December,14.81,8.39,11.10,17.45,14.60,14.13,14.17,,,,,
Total,89.13,69.55,89.47,111.09,67.84,77.52,89.47,,,,,
Calc annual,89.13,69.55,89.47,111.09,67.84,77.52,89.47,11.69,0.00,0.00,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
