ABERGAVENNY-MANSFIELD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO296141,Long,-3.0228027,Lat,51.82107,Elevation,194,ft.,,,,,,,,,,,,,
Station no,RR6174,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.69,1.66,1.56,4.31,4.42,5.81,3.99,,,,,,,,,
February,,,,,,8.56,6.71,0.97,1.99,5.49,0.93,0.14,,,,,,,,,
March,,,,,,0.67,5.1,4.52,2.29,4.84,5.86,2.62,,,,,,,,,
April,,,,,,1.13,1.07,1.73,2.69,1.47,7.45,0.86,,,,,,,,,
May,,,,,,4.22,3.7,4.27,1.71,0.36,2.47,1.19,,,,,,,,,
June,,,,,,1.83,1.55,2.35,1.52,0.95,3.66,0.42,,,,,,,,,
July,,,,,,4.91,1.01,2.06,3.32,1.27,4.73,0.81,,,,,,,,,
August,,,,,,1.96,2.99,8.69,1.86,2.84,1.06,4.53,,,,,,,,,
September,,,,,,0.67,1.77,3.1,9.08,1.72,2.63,1.58,,,,,,,,,
October,,,,,,5.76,8.55,5.35,2.06,2.68,4.98,1.33,,,,,,,,,
November,,,,,,3.71,5,1.81,4.13,2.54,2.29,3.99,,,,,,,,,
December,,,,,,10.88,3.02,0.99,4.82,5.74,6.2,2.33,,,,,,,,,
Total,,,,,,47.99,42.13,37.4,39.78,34.32,48.07,23.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church. Altitudes match. ,,,,,,,,,,,,,,,,,,,,,
500m from ABERGAVENNY-DRYNE-HOUSE and 220m from ABERGAVENNY-LINDA-VISTA,,,,,,,,,,,,,,,,,,,,,
