TOLETHORPE-HALL-STAMFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF022103,Long,-0.489697,Lat,52.680768,Elevation,161,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,1.37,1.28,2.31,2.21,3.47,1.43,1.32,0.31,0.89,1.51,2.03,1.7,1.25,2.82,2.37,0.69,1.26,1.69,1.45,0.99,1.38,1.36,2.59,0.81,,0.77,2.49,3.12,0.74,0.59,1.8,1.75,0.82,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.32,0.76,1.32,2.27,1.63,1.35,2.24,1.82,2.93,1.44,2.97,0.71,1.99,0.19,0.52,1.76,2.26,1.02,0.05,2.39,2.12,1.59,0.21,0.63,,0.46,1.27,3.8,1.34,1.4,0.73,2.7,0.35,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.91,0.59,0.57,2.44,1.6,0.39,0.73,1.25,1.56,0.94,0.86,0.99,0.97,2.18,1.73,2.35,2.12,2.14,1.18,0.94,0.15,0.55,1.55,1.91,,1.19,0.67,0.49,1.85,0.9,2.19,1.74,2.28,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.2,1.23,1,5.19,3.39,1.59,2.6,2.05,0.87,3.65,2.54,1.08,1.72,1.19,1.08,1.96,2.8,0.67,1.31,0.78,0.29,1.08,1.09,0.58,,2.13,2.35,0.77,1.79,1.37,1.67,0.97,1.59,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.92,0.84,1.36,0.57,1.7,3.61,3.38,1.38,0.68,1.85,2.07,1.26,1.81,4.28,1.65,0.98,4.66,3.62,2.52,1.69,0.95,0.96,0.52,0.37,,2.4,1.99,1.36,1.48,3.19,2.76,1.5,0.69,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,2.48,0.74,3.25,2,0.87,1.49,4.2,3.82,2.23,2.44,2.72,0.92,2.48,0.94,0.94,3.26,0.47,2.28,2.74,1.61,0.95,1.89,0.62,2.29,,1.08,1.29,1.21,1.57,1.49,1.81,0.52,2.9,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,2.68,0.65,5.61,0.75,2.78,0.87,2.93,6.09,2.7,3.55,2.98,2.91,0.29,3.13,0.63,4.45,2.46,2.23,1.92,2.18,2.63,2.79,2.43,1.21,,0.94,0.6,1.04,2.3,0.97,1.62,2.05,2.29,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.52,1.71,2.53,1.83,3.08,7.75,3.43,1.94,4.18,1.83,0.98,1.57,2.47,1.75,0.63,1.74,2.65,1.54,3.22,1.38,1.9,2.21,1.26,1.42,,3.46,0.86,3.32,1.55,2.85,4.81,2.16,2.84,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.79,2.78,2.11,5.49,1.52,1.63,2.89,5.46,2.41,2.09,5.78,1.07,3.06,1,1.32,0.96,2.14,0.46,1.01,2.16,0.82,0.93,0.76,4.59,,0.41,3.97,0.33,0.88,2.13,2.53,2.05,2.42,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,1.66,1.54,5,1.42,0.93,1.95,0.42,6.42,3.61,5,1.69,0.98,4.84,4.03,1.94,0.27,3.03,1.06,3.77,4.07,2.06,2.28,1.85,3.31,,2.16,2.56,1.79,2.21,1.64,5.86,0.53,1.01,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
