DUNFANAGHY,,,,,,,,,,
Grid ref,IC0157036916,Long,-7.9761171,Lat,55.179578,Elevation,38,ft,,
Station no,6260,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,4.59,4.52,2.24,6.43,4.39,
February,,,,,2.41,1.18,4.29,4.44,1.25,
March,,,,,3.28,2.04,4.84,3.6,3.25,
April,,,,,3.02,1.1,3.87,1.52,2.34,
May,,,,,1.88,2.86,0.96,1.64,3.04,
June,,,,,1.56,3.34,2.9,3.03,2.95,
July,,,,,2.94,3.11,2.67,4.47,1.44,
August,,,,,5.01,4.54,2.81,4.39,5.35,
September,,,,,4.92,2.82,3.1,2.63,4.37,
October,,,,6.45,4.42,3.91,4.71,6.06,6.62,
November,,,,3.38,4.79,3.5,3.25,8.44,4.54,
December,,,,3.77,4.43,3.45,6.13,3.67,3.58,
Total,,,,,43.25,36.37,41.77,50.32,43.12,
,,,,,,,,,,
Observer C (Cadwallder) Brooke-Wolseley was a physician in Dunfanaghy ,,,,,,,,,,
As such Grid Reference given for the old Infectious Diseases hospital,,,,,,,,,,
