IRONGRAY DRUM PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX873799,Long,-3.76781,Lat,55.100668,Elevation,230,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,15.4,12.9,7.75,12.5,5.5,13.5,8.1,2,1.9,0.9,4.5,11,12.5,6.1,6.4,4.8,4.3,4,8.3,4.9,4.1,1.8,8.3,2.5,3.5,,,
February,,,7,0.9,3.2,1.65,6.7,4.25,3.8,3.7,7,5.7,7,5.5,9.9,9,3,3,0.6,3,1.1,0.06,2.75,7.5,15.1,0.7,3.4,,,
March,,,5.6,4.2,3.75,2.15,5.25,3,1.7,3.1,2.2,5.1,6,3.1,7.3,3.7,7,2.2,3,3.5,3.4,4,1.55,2.6,2.9,5.5,5.4,,,
April,,,1.3,0.04,3.45,1.3,2.9,2.7,4.05,1.75,5,1.2,3.9,3.8,1.6,3.65,2.4,2.2,1.85,3.1,1.55,2.65,0.8,1.2,2.85,3.2,2.2,,,
May,,,3.9,1.5,0.05,2,0.6,5.25,5.8,2,1.6,2.6,1.25,3.2,5.25,3.3,4.65,1.3,3.45,3.45,4.05,2.5,6.7,3.15,3.8,0.3,0.35,,,
June,,,7.5,2.1,1,5,5.05,4.6,2.25,6.9,2.05,6.6,4.8,2.85,0.35,1.2,0.45,0.22,1.8,1.15,6.4,1.05,4.1,1.2,4.1,1,3.22,,,
July,,,4.4,8.55,3.1,2.1,2.15,5.75,0.03,6.25,3.5,3.7,11.2,2.6,7.15,3.3,3.85,4.63,6.05,6.15,4.3,1.2,3.15,3.5,3.05,6.6,6.45,,,
August,,,3.3,7.25,6.5,2.9,4.05,8,4.9,7.3,0.4,6.05,3.85,5.9,2.15,3.95,3.35,3,3.8,4.95,3.65,9.15,8.55,7.25,3.8,8.9,2.35,,,
September,,,6.5,5.2,6.1,7.9,3.7,2.5,5.75,6.85,3.8,4.25,3.3,5.1,4.2,11.3,7.45,5.7,1.2,2.1,4.4,6.2,5.32,2.5,0.1,0.4,7.55,,,
October,,,5.3,8.7,13.9,6.15,7.55,9.75,4.05,2.2,0.7,3.45,4.9,5.7,3.35,6.7,4.35,2.05,3.6,6.22,2.3,10.15,4.2,6.3,6.1,4,4.45,,,
November,,,7.3,3.2,7.4,6,4.5,13.5,1.75,1.1,8.65,9.5,6.6,9.35,3.3,4,4.8,5.65,10.35,3.33,12.5,7.4,6.7,2.45,8.1,7.1,1.6,,,
December,,,12.25,3.2,1.6,5.6,10.2,7.4,1.4,4.5,3.3,7.2,5.5,5.5,7,2.7,6.95,7.5,7.2,5.65,1.9,9.6,2.7,10.2,8.3,6.4,9.1,,,
Total,,,79.75,57.74,57.8,55.25,58.15,80.2,43.58,47.65,40.1,56.25,62.8,63.6,64.05,58.9,54.65,42.25,47.2,46.6,53.85,58.86,50.62,49.65,66.5,46.6,49.57,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872-1879 transcribed from pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-029.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discarded incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
