CROOK-A-DYKE SWARTH FELL,,,,,,,,,,
Grid ref,NY466217,Long,-2.8278326,Lat,54.587658,Elevation,997,ft,,
Station no,RR8709,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,5.25,9.5,8.5
February,,,,,,,,4.25,4,8.75
March,,,,,,,,3.25,6.75,0.5
April,,,,,,,,6,4.75,1.25
May,,,,,,,,3.75,2.75,2.25
June,,,,,,,,1.25,0.75,0.5
July,,,,,,,,3.75,0,1.5
August,,,,,,,,2.75,6,0.5
September,,,,,,,0.25,4.5,4.75,12.5
October,,,,,,,3.5,5.75,4.5,2.5
November,,,,,,,5.5,0,2.5,5.25
December,,,,,,,7,2.25,12.75,9
Total,,,,,,,,42.75,59,53
