WITHERIDGE-CHULMLEIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS803145,Long,-3.7032,Lat,50.9183,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,0.19,3.89,4.08,1.52,2.59,5.28,,4.39,,2.15,4.12,6.25,5.22,4.35,4.58,2.32,2.7,6.06,4.24,3.4,5.42,,,,
February,,,,,,2.58,1.81,2.13,1.13,2.36,3.1,,0.88,,1.53,4.64,5.14,2.97,1.52,3.84,0.81,2.71,4.86,4.06,2.2,2.56,,,,
March,,,,,,2.52,1.76,4.13,2.42,3.64,4.12,,2.82,,3.35,2.02,3.48,4.34,3.62,1.06,1.28,1.46,3.31,4,1.43,1.62,,,,
April,,,,,,1.09,4.14,4.4,4.44,4.69,1.1,,3,,1.36,0.81,1.82,4.56,2.81,1.63,0.23,4.49,2.48,1.18,2.02,1.71,,,,
May,,,,,,2.67,3.61,2.52,2.02,1.73,4.83,,1.47,,0.74,3.14,1.85,2.88,1.25,5.93,1.81,0.13,2.08,1.84,0.33,2.88,,,,
June,,,,,,5.07,2.27,2.71,2.67,2.83,6.83,,4.43,,1.98,1.16,2.8,1.26,0.54,0.32,0.48,1.75,3.29,1.07,1.51,3.63,,,,
July,,,,,,4.25,2.08,5.17,3.31,2.12,3.33,,3.63,,0.71,4.58,1.15,4.16,0.24,0.9,0.85,5.77,4.47,3.86,1.48,3.01,,,,
August,,,,,,2.17,3.38,1.16,2.57,5.7,7.19,,3.26,,2.12,5.11,3.71,1.58,5.84,0.92,3.15,1.22,2.36,6.35,3.24,3.69,,,,
September,,,,,,1.83,3.79,3.3,3.43,5.26,2.6,,5.06,,3.75,0.11,8.75,2.07,4.73,5.99,1.76,4.15,3.14,1.76,5.64,3.72,,,,
October,,,,,,4.92,3.5,4.85,2.5,6.54,4.67,,8.22,,2.49,4.67,1.87,4.08,4.5,2.21,6.85,4.72,5.01,3.22,4.69,6,,,,
November,,,,,,0.58,1.83,2.31,3.48,3.76,5.23,,0.83,,3.27,3.97,3.37,0.75,2.07,3.17,2.45,1.46,5.9,3.51,3.01,1.77,,,,
December,,,,,,3.2,4.02,1.47,4.89,4.14,5.54,,4.77,,3.8,1.39,5.23,2.06,7.2,4.42,2.01,2.6,5.67,0.93,7.91,1.36,,,,
Total,,,,,,31.07,36.08,38.23,34.38,45.36,53.82,,42.76,,27.25,35.72,45.42,35.93,38.67,34.97,24,33.16,48.63,36.02,36.86,37.37,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicates of 1861 and 1863 have been lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1851 census lists the obs as being in a cottage in the village – an 1850 directory says he is having a new vicarage built, so assume by 1855 he is in the new vicarage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861 census obs is in the Parsonage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871 census he is in a cottage called Hodges – appears to be near church and vicarage and he is listed as 'clerk in holy orders' so assume he is still going to the church and hence could continue reading the gauge without having moved it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR therefore in field between church and vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
