TODMORDEN-WALSDEN,,,,,,,,,,
Grid ref,SD935219,Long,-2.0999139,Lat,53.693503,Elevation,550,ft.,,
Station no,RR8055,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,6.6,5.45,4.05,7.97,5.23,3.7,3.83,6.81
February,,,2.33,2.82,5.01,8.31,8.61,2.43,6.92,2.23
March,,,7.5,7.05,5.92,1.89,3.68,4.1,2.09,10.66
April,,,1.47,5.71,1.26,2.15,3.89,3,1.48,2.34
May,,,4.04,3.98,2.55,3.61,2.9,2.57,2.36,2.76
June,,,6.35,3.65,2.21,1.03,3.6,2.02,0.98,1.57
July,,,4.79,0.81,4.4,6.11,2.59,3.12,-999,2.38
August,,,7.93,2.38,4.07,5.94,3.57,6.92,-999,5.05
September,,,2.95,1.43,4.23,0.75,2.65,2.45,12.92,2.41
October,,,6.21,1.94,3.1,3.03,10.83,9.08,4.66,3.31
November,,,4.73,6.62,7.34,2.71,4.06,4.96,3.15,4.75
December,,,7.91,4.01,7.94,9.35,3.62,3.9,10.54,9.96
Total,,,62.81,45.85,52.08,52.85,55.23,48.25,60.14,54.23
,,,,,,,,,,
"NGR is Birks House, which is mentioned on the record as being the location in 1916. Altitudes match.",,,,,,,,,,
