TOOME CO ANTRIM,,,,,,,,,,
Grid ref,IH9897790781,Long,-6.4632359,Lat,54.755381,Elevation,60,ft,,
Station no,RR2880,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,5.5,4.97,4.82,3.7,,,,,
February,,2.16,4.44,1.14,1.56,,,,,
March,,2.81,1.21,1.94,1.03,,,,,
April,,0.88,1.92,2.1,0.29,,,,,
May,,1.29,2.28,0.19,2.71,,,,,
June,,2.45,3.72,1.98,3.51,,,,,
July,,2.06,1.93,3.35,5.17,,,,,
August,,3.2,3.69,3.13,2.36,,,,,
September,,1.87,1.17,1.39,1.94,,,,,
October,,3.26,1.83,4.31,2.62,,,,,
November,,2.03,6.02,3.63,1.67,,,,,
December,,1.75,6.78,0.52,3.6,,,,,
Total,,29.26,39.96,28.5,30.16,,,,,
,,,,,,,,,,
Other than elevation no locational info.,,,,,,,,,,
"NGR at east end of river bridge at approx right elevation, Toome very small on 1837-1842 map but bridge present",,,,,,,,,,
