EALING-ST-STEPHENS-ROAD-ASHBURNE,,,,,,,,,,
Grid ref,TQ170813,Long,-0.31513492,Lat,51.518513,Elevation,150,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.29,,,,
February,,,,,,3.46,,,,
March,,,,,,1.57,,,,
April,,,,,,2.34,,,,
May,,,,,,2.52,,,,
June,,,,,,1.6,,,,
July,,,,,,0.25,,,,
August,,,,,,0.98,,,,
September,,,,,,4.68,,,,
October,,,,,,4.01,,,,
November,,,,,,2.7,,,,
December,,,,,,0.64,,,,
Total,,,,,,26.04,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is the the mid point of St Stephens Road The observer is the same person as for the 1890s record, which is 300m W. No stated altitude, OS figure used. NGR could be +/- 300m and altitude +/-20 ft.",,,,,,,,,,
