EDMONDBYERS (RUFFSIDE),,,,,,,,,,
Grid ref,NY989518,Long,-2.018663,Lat,54.860985,Elevation,730,ft,,
Station no,"""3553/8/8""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.53,3.17,3.08,3.86,2.45,,3.16,5.6
February,,,1.79,2.09,2.42,3.62,3.11,,0.29,3.05
March,,,0.13,1.13,2.04,1.37,1.36,2.83,0.89,2.99
April,,,3.48,0.47,0.34,1.19,0.28,,2.58,1.5
May,,,2.53,4.86,2.54,0.8,1.6,3.58,0.77,2.02
June,,,3.29,1.85,2.28,3.25,1.1,,2.3,0.43
July,,1.89,1.57,1.13,1.07,3.35,3.69,3.44,1.21,5.35
August,,2.51,4.71,7.22,0.96,10.01,4.71,3.56,0.52,4.21
September,,4.18,2.86,2.72,1.25,3.49,3.32,2.77,0.98,2.77
October,,4.18,2.03,4.94,2.28,1.89,2.21,1.99,2.05,9.33
November,,3.35,1.82,5.06,1.74,0.88,2.18,0.41,5.56,3.16
December,,3,0.86,3.18,4.42,3.4,2.66,4.72,5.43,2.78
Total,,,25.6,37.82,24.42,37.11,28.67,,25.74,43.19
,,,,,,,,,,
"1958 Jan, Feb, April, June and total estaimted therefore removed",,,,,,,,,,
"CEDA 1835, RUFFSIDE, 1952-1966",,,,,,,,,,
