TOMINTOUL,,,,,,,,,,
Grid ref,NJ 16689 18751,Long,-3.382426,Lat,57.251831,Elevation,1100,ft,,
Station no,RR8780,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,3.45,1.69,0.84,2.05,,,,
February,,,2.37,2.13,0.49,0.94,,,,
March,,1.2,2.07,2.18,2,1.32,,,,
April,,1.75,2.68,2.43,2.15,1.27,,,,
May,,1.04,4.71,3.7,2.2,1.85,,,,
June,,2.64,5.52,1.63,2.95,2.96,,,,
July,,3.81,2.07,1.96,3.16,5.02,,,,
August,,2.45,4.94,2.92,6.75,3.83,,,,
September,,4.45,5.73,5.56,2.5,,,,,
October,,1.96,4.82,2.34,4.3,,,,,
November,,5.69,5.5,4.18,2.1,,,,,
December,,2.23,2.45,1.66,1.9,,,,,
Total,,,46.31,32.38,31.34,,,,,
,,,,,,,,,,
Obs School teacher Mr. R  Dey,,,,,,,,,,
Location based on school,,,,,,,,,,
BR 1871 P  Ja & Feb but G transferred,,,,,,,,,,
from TOMINTOUL-INCHRORY,,,,,,,,,,
BR 1872 P see Obs Notes on weather,,,,,,,,,,
BR 1873 P see Obs Notes on weather,,,,,,,,,,
BR 1874 P,,,,,,,,,,
,,,,,,,,,,
Station no,RR8780,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
